Copy of dataphong4
id;Ten;Diachi;Beprieng;Bontam;Netflix;Gia14h_12h;Gia1h_19h;Gia20h_9h;Gia4tieng;;;;;;;;;;;;;;;;;;;
1;Lê Đại Hành (phòng xếp ngẫu nhiên);Hai Bà Trưng;1;1;0;1050000;865000;740000;540000;;;;;;;;;;;;;;;;;;;
2;Bắc Giang, Nguyễn Thị Lưu;;1;0;1;650000;650000;550000;450000;;;;;;;;;;;;;;;;;;;
3;Phan Phù Tiên;Đống Đa;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
4;Phan Phù Tiên;Đống Đa;1;0;1;780000;572000;460000;360000;;;;;;;;;;;;;;;;;;;
5;Phan Phù Tiên;Đống Đa;1;0;1;850000;705000;540000;440000;;;;;;;;;;;;;;;;;;;
6;Hạ Hồi;Hoàn Kiếm;1;1;1;800000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
7;Bạch Đằng;Hoàn Kiếm;1;1;1;800000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
8;Giảng Võ;Ba Đình;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
9;Đặng Trần Côn;Đống Đa;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
10;Giảng Võ;Ba Đình;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
11;Lạc Long Quân;Tây Hồ;1;0;1;1050000;865000;740000;540000;;;;;;;;;;;;;;;;;;;
12;Trịnh Công Sơn;Tây Hồ;1;1;1;950000;705000;590000;440000;;;;;;;;;;;;;;;;;;;
13;Trịnh Công Sơn;Tây Hồ;1;1;1;950000;705000;590000;440000;;;;;;;;;;;;;;;;;;;
14;Yên Ninh;Ba Đình;1;0;1;800000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
15;Bát Sứ;Hoàn Kiếm;1;0;1;750000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
16;Bát Sứ;Hoàn Kiếm;1;1;1;800000;705000;540000;440000;;;;;;;;;;;;;;;;;;;
17;Trần Duy Hưng;Thanh Xuân Cầu Giấy;1;0;1;950000;705000;590000;440000;;;;;;;;;;;;;;;;;;;
18;Yết Kiêu;Hai Bà Trưng;1;1;1;780000;625000;490000;390000;;;;;;;;;;;;;;;;;;;
19;Trần Duy Hưng;Thanh Xuân Cầu Giấy;1;0;1;950000;705000;590000;440000;;;;;;;;;;;;;;;;;;;
20;Lạc Long Quân;Tây Hồ;1;1;1;1100000;945000;790000;590000;;;;;;;;;;;;;;;;;;;
21;Trấn Vũ;Ba Đình;1;1;1;850000;672000;520000;420000;;;;;;;;;;;;;;;;;;;
22;Lê Hồng Phong;Ba Đình;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
23;Lạc Long Quân;Tây Hồ;1;0;1;1050000;865000;740000;540000;;;;;;;;;;;;;;;;;;;
24;Yên Ninh;Ba Đình;1;0;1;650000;465000;390000;290000;;;;;;;;;;;;;;;;;;;
25;Bạch Đằng;Hoàn Kiếm;0;0;1;650000;465000;390000;290000;;;;;;;;;;;;;;;;;;;
26;Bạch Đằng;Hoàn Kiếm;0;0;1;650000;465000;390000;290000;;;;;;;;;;;;;;;;;;;
27;Kim Mã;Đống Đa;1;1;1;850000;672000;520000;420000;;;;;;;;;;;;;;;;;;;
28;Trần Duy Hưng;Thanh Xuân Cầu Giấy;1;1;1;950000;865000;690000;540000;;;;;;;;;;;;;;;;;;;
29;Phùng Hưng;Hoàn Kiếm;1;0;1;550000;385000;340000;240000;;;;;;;;;;;;;;;;;;;
30;Phùng Hưng;Hoàn Kiếm;1;0;1;650000;465000;390000;290000;;;;;;;;;;;;;;;;;;;
31;Yết Kiêu;Hai Bà Trưng;1;0;1;700000;512000;420000;320000;;;;;;;;;;;;;;;;;;;
32;Trịnh Công Sơn;Tây Hồ;1;1;1;1050000;865000;740000;540000;;;;;;;;;;;;;;;;;;;
33;Trần Duy Hưng;Thanh Xuân Cầu Giấy;1;0;1;950000;705000;590000;440000;;;;;;;;;;;;;;;;;;;
34;Lò Đúc;Hai Bà Trưng;0;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
35;Lê Hồng Phong;Ba Đình;1;0;1;750000;545000;440000;340000;;;;;;;;;;;;;;;;;;;
36;Lê Hồng Phong;Ba Đình;1;0;1;850000;705000;540000;440000;;;;;;;;;;;;;;;;;;;
37;Lạc Long Quân;Tây Hồ;1;0;1;1050000;865000;740000;540000;;;;;;;;;;;;;;;;;;;
38;Trịnh Công Sơn;Tây Hồ;1;1;1;1050000;865000;740000;540000;;;;;;;;;;;;;;;;;;;
