id;Ten;Diachi;Beprieng;Bontam;Netflix;Gia14h_12h;Gia1h_19h;Gia20h_9h;Gia4tieng;Hinhanh;;;;;;;;;;;;;;;;;;
1;Lê Đại Hành (phòng xếp ngẫu nhiên);Hai Bà Trưng;1;1;0;1050000;865000;740000;540000;No1.jpg;;;;;;;;;;;;;;;;;;
2;Bắc Giang, Nguyễn Thị Lưu;Bắc Giang;1;0;1;650000;650000;550000;450000;No2.jpg;;;;;;;;;;;;;;;;;;
3;Phan Phù Tiên;Đống Đa;1;0;1;750000;545000;440000;340000;No3.jpg;;;;;;;;;;;;;;;;;;
4;Phan Phù Tiên;Đống Đa;1;0;1;780000;572000;460000;360000;No4.jpg;;;;;;;;;;;;;;;;;;
5;Phan Phù Tiên;Đống Đa;1;0;1;850000;705000;540000;440000;No5.jpg;;;;;;;;;;;;;;;;;;
6;Hạ Hồi;Hoàn Kiếm;1;1;1;800000;625000;490000;390000;No6.jpg;;;;;;;;;;;;;;;;;;
7;Bạch Đằng;Hoàn Kiếm;1;1;1;800000;625000;490000;390000;No7.jpg;;;;;;;;;;;;;;;;;;
8;Giảng Võ;Ba Đình;1;0;1;750000;545000;440000;340000;No8.jpg;;;;;;;;;;;;;;;;;;
9;Đặng Trần Côn;Đống Đa;1;0;1;750000;545000;440000;340000;No9.jpg;;;;;;;;;;;;;;;;;;
10;Giảng Võ;Ba Đình;1;0;1;750000;545000;440000;340000;No10.jpg;;;;;;;;;;;;;;;;;;
11;Lạc Long Quân;Tây Hồ;1;0;1;1050000;865000;740000;540000;No11.jpg;;;;;;;;;;;;;;;;;;
12;Trịnh Công Sơn;Tây Hồ;1;1;1;950000;705000;590000;440000;No12.jpg;;;;;;;;;;;;;;;;;;
13;Trịnh Công Sơn;Tây Hồ;1;1;1;950000;705000;590000;440000;No13.jpg;;;;;;;;;;;;;;;;;;
14;Yên Ninh;Ba Đình;1;0;1;800000;625000;490000;390000;No14.jpg;;;;;;;;;;;;;;;;;;
15;Bát Sứ;Hoàn Kiếm;1;0;1;750000;625000;490000;390000;No15.jpg;;;;;;;;;;;;;;;;;;
16;Bát Sứ;Hoàn Kiếm;1;1;1;800000;705000;540000;440000;No16.jpg;;;;;;;;;;;;;;;;;;
17;Trần Duy Hưng;Thanh Xuân Cầu Giấy;1;0;1;950000;705000;590000;440000;No17.jpg;;;;;;;;;;;;;;;;;;
18;Yết Kiêu;Hai Bà Trưng;1;1;1;780000;625000;490000;390000;No18.jpg;;;;;;;;;;;;;;;;;;
19;Trần Duy Hưng;Thanh Xuân Cầu Giấy;1;0;1;950000;705000;590000;440000;No19.jpg;;;;;;;;;;;;;;;;;;
20;Lạc Long Quân;Tây Hồ;1;1;1;1100000;945000;790000;590000;No20.jpg;;;;;;;;;;;;;;;;;;
21;Trấn Vũ;Ba Đình;1;1;1;850000;672000;520000;420000;No21.jpg;;;;;;;;;;;;;;;;;;
22;Lê Hồng Phong;Ba Đình;1;0;1;750000;545000;440000;340000;No22.jpg;;;;;;;;;;;;;;;;;;
23;Lạc Long Quân;Tây Hồ;1;0;1;1050000;865000;740000;540000;No23.jpg;;;;;;;;;;;;;;;;;;
24;Yên Ninh;Ba Đình;1;0;1;650000;465000;390000;290000;No24.jpg;;;;;;;;;;;;;;;;;;
25;Bạch Đằng;Hoàn Kiếm;0;0;1;650000;465000;390000;290000;No25.jpg;;;;;;;;;;;;;;;;;;
26;Bạch Đằng;Hoàn Kiếm;0;0;1;650000;465000;390000;290000;No26.jpg;;;;;;;;;;;;;;;;;;
27;Kim Mã;Đống Đa;1;1;1;850000;672000;520000;420000;No27.jpg;;;;;;;;;;;;;;;;;;
28;Trần Duy Hưng;Thanh Xuân Cầu Giấy;1;1;1;950000;865000;690000;540000;No28.jpg;;;;;;;;;;;;;;;;;;
29;Phùng Hưng;Hoàn Kiếm;1;0;1;550000;385000;340000;240000;No29.jpg;;;;;;;;;;;;;;;;;;
